Goal_Position_X, Goal_Position_Y, Goal_Position_Z, Effector_Position_X, Effector_Position_Y, Effector_Position_Z
-102.79566409751392, -6.4847083782608825, 7.0, -100.71343649796447, -6.960939083383967, 6.734508296352212
-102.82680256118306, -5.970651140661116, 7.0, -100.73415973134874, -6.466040761713586, 6.713861027304722
-102.85537036014371, -5.456444637093805, 7.0, -100.7508275104076, -5.971163222149672, 6.693542961165573
-102.88136678020241, -4.942101722694755, 7.0, -100.7634450200692, -5.476361056668131, 6.673558401231086
-102.90479117145001, -4.4276352560100385, 7.0, -100.77201840598683, -4.9816887537688395, 6.653911554420957
-102.92564294827794, -3.913058098674527, 7.0, -100.77655477020902, -4.487200677130143, 6.6346065289565646
-102.94392158939287, -3.3983831150903545, 7.0, -100.77706216627377, -3.9929510443102902, 6.615647332097215
-102.95962663782973, -2.883623172105303, 7.0, -100.77354959372876, -3.4989939055066235, 6.597037867942994
-102.97275770096311, -2.3687911386911376, 7.0, -100.76602699208203, -3.005383122381745, 6.578781935303273
-102.98331445051713, -1.8538998856218794, 7.0, -100.75450523418321, -2.5121723469922737, 6.560883225632691
-102.9912966225736, -1.338962285152038, 7.0, -100.73899611904153, -2.0194150008098712, 6.54334532104317
-102.99670401757864, -0.823991210694805, 7.0, -100.71951236408108, -1.5271642538861088, 6.526171692388493
-102.99953650034763, -0.3089995365002211, 7.0, -100.69606759684251, -1.0354730041484403, 6.509365697424057
-102.99979400006866, 0.2059998626666816, 7.0, -100.6686763461324, -0.5443938568626155, 6.492930579051203
-102.99747651030428, 0.7209941118477468, 7.0, -100.63735403262947, -0.05397910427526015, 6.476869463639455
-102.99258408899156, 1.2359703362135677, 7.0, -100.60211695895212, 0.43571929454287833, 6.461185359433994
-102.98511685844085, 1.7509156613853565, 7.0, -100.5629822991971, 0.9246497336471933, 6.445881155051244
-102.97507500533244, 2.2658172137568044, 7.0, -100.51996808795488, 1.4127609799240617, 6.43095961806099
-102.9624587807122, 2.7806621208159195, 7.0, -100.47309320881286, 1.9000021925517827, 6.416423393660703
