Goal_Position_X, Goal_Position_Y, Goal_Position_Z, Effector_Position_X, Effector_Position_Y, Effector_Position_Z
-102.97033742384465, 2.471762694834471, 7.0, -100.45901170312725, 2.2647439901874264, 6.4178726003324575
-102.97507500533244, 2.2658172137567956, 7.0, -100.47910053043645, 2.070284476490585, 6.423348657131094
-102.97940068665751, 2.059862669413286, 7.0, -100.49857831391832, 1.875674597317007, 6.428886882989611
-102.98331445051713, 1.8538998856218454, 7.0, -100.51744375377837, 1.6809175260409557, 6.434487134088949
-102.98681628125627, 1.6479296862333344, 7.0, -100.5356955707363, 1.4860164471791948, 6.440149263454503
-102.98990616486759, 1.4419528951282754, 7.0, -100.55333250615435, 1.2909745562131696, 6.445873120963617
-102.99258408899156, 1.2359703362135588, 7.0, -100.57035332216617, 1.0957950594026857, 6.451658553355287
-102.99485004291653, 1.029982833419145, 7.0, -100.58675680180346, 0.9004811735984384, 6.457505404241295
-102.99670401757864, 0.8239912106947711, 7.0, -100.60254174911934, 0.7050361260607224, 6.463413514114897
-102.99814600556199, 0.617996292006653, 7.0, -100.61770698931264, 0.5094631542636499, 6.469382720363383
-102.99917600109868, 0.41199890133419087, 7.0, -100.632251368848, 0.31376550570937733, 6.475412857278053
-102.99979400006866, 0.2059998626666727, 7.0, -100.64617375557442, 0.11794643773880745, 6.481503756066269
-103.0, -2.1441182163073336e-14, 7.0, -100.65947303884325, -0.07799078266426401, 6.487655244862842
-102.99979400006866, -0.20599986266671558, 7.0, -100.67214812962243, -0.27404287906222546, 6.493867148743066
-102.99917600109868, -0.4119989013342337, 7.0, -100.68419796061005, -0.4702065657597868, 6.500139289734307
-102.99814600556199, -0.6179962920066958, 7.0, -100.69562148634557, -0.6664785479980029, 6.506471486829826
-102.99670401757864, -0.823991210694814, 7.0, -100.70641768331852, -0.8628555221490148, 6.512863556001648
-102.99485004291653, -1.0299828334191878, 7.0, -100.71658555007642, -1.0593341759158448, 6.519315310214417
-102.99258408899156, -1.2359703362136016, 7.0, -100.72612410732998, -1.2559111885302174, 6.525826559439453
-102.98990616486759, -1.4419528951283183, 7.0, -100.73503239805476, -1.4525832309436537, 6.5323971106683345
-102.98681628125627, -1.6479296862333772, 7.0, -100.74330948759487, -1.649346966039581, 6.5390267679290535
-102.98331445051713, -1.8538998856218882, 7.0, -100.75095446375994, -1.846199048824097, 6.545715332299632
-102.97940068665751, -2.059862669413329, 7.0, -100.75796643692308, -2.043136126630849, 6.552462601924701
-102.97507500533244, -2.2658172137568386, 7.0, -100.76434454011576, -2.2401548393225603, 6.559268372029983
-102.97033742384465, -2.471762694834514, 7.0, -100.77008792912063, -2.4372518194944304, 6.5661324349392896
-102.96518796114448, -2.6776982888647063, 7.0, -100.77519578256259, -2.6344236926787836, 6.573054580090796
-102.95962663782973, -2.8836231721053127, 7.0, -100.77966730199697, -2.8316670775461334, 6.580034594053034
-102.95365347614572, -3.089536520857076, 7.0, -100.78350171199654, -3.0289785861135545, 6.58707226054271
-102.94726849998507, -3.2954375114668752, 7.0, -100.78669826023601, -3.2263548239500195, 6.5941673604419355
-102.94047173488768, -3.501325320331022, 7.0, -100.78925621757392, -3.4237923903798397, 6.601319671815006
-102.9332632080406, -3.707199123898556, 7.0, -100.79117487813312, -3.6212878786914904, 6.6085289699271925
-102.92564294827794, -3.913058098674538, 7.0, -100.79245355937944, -3.8188378763507917, 6.615795027263516
-102.91761098608073, -4.118901421223343, 7.0, -100.79309160219607, -4.016438965198265, 6.623117613545938
-102.90916735357679, -4.324728268171953, 7.0, -100.79308837095863, -4.214087721665141, 6.630496495752845
-102.90031208454064, -4.530537816213259, 7.0, -100.79244325360617, -4.411780716981777, 6.6379314381387395
-102.89104521439337, -4.736329242109339, 7.0, -100.79115566171049, -4.609514517385836, 6.6454222022527745
-102.88136678020241, -4.942101722694766, 7.0, -100.78922503054349, -4.807285684333495, 6.652968546959446
-102.87127682068153, -5.147854434879893, 7.0, -100.78665081914207, -5.00509077471025, 6.660570228457638
-102.8607753761905, -5.353586555654143, 7.0, -100.78343251037076, -5.202926341041034, 6.6682270003017745
-102.84986248873513, -5.559297262089309, 7.0, -100.7795696109823, -5.400788931700755, 6.67593861342174
-102.83853820196694, -5.764985731342839, 7.0, -100.77506165167637, -5.598675091129687, 6.683704816144642
-102.82680256118306, -5.970651140661129, 7.0, -100.76990818715502, -5.796581360040511, 6.691525354214478
-102.81465561332602, -6.176292667382819, 7.0, -100.7641087961774, -5.994504275636061, 6.6993999708150875
-102.80209740698363, -6.381909488942074, 7.0, -100.75766308161059, -6.192440371817571, 6.70732840659085
-102.78912799238867, -6.587500782871882, 7.0, -100.75057067047979, -6.3903861794010695, 6.715310399668903
-102.77574742141881, -6.793065726807343, 7.0, -100.74283121401483, -6.588338226325988, 6.723345685681401
-102.76195574759629, -6.998603498488953, 7.0, -100.73444438769573, -6.786293037873906, 6.73143399778737
-102.74775302608779, -7.204113275765901, 7.0, -100.72540989129497, -6.984247136877511, 6.73957506669618
-102.73313931370419, -7.409594236599351, 7.0, -100.71572744891836, -7.182197043937895, 6.747768620690028
-102.7181146689003, -7.615045559065734, 7.0, -100.70539680904287, -7.380139277635494, 6.756014385646797
-102.7026791517747, -7.8204664213600354, 7.0, -100.694417744553, -7.578070354746029, 6.764312085063887
-102.68683282406944, -8.025856001799077, 7.0, -100.68279005277395, -7.7759867904520314, 6.772661440081668
-102.67057574916979, -8.231213478824813, 7.0, -100.67051355550382, -7.973885098559519, 6.7810621695069235
-102.65390799210404, -8.43653803100761, 7.0, -100.65758809904216, -8.171761791711102, 6.7895139898376815
-102.63682961954319, -8.64182883704953, 7.0, -100.6440135542173, -8.369613381598555, 6.798016615286334
-102.61934069980072, -8.847085075787627, 7.0, -100.62978981641098, -8.567436379178965, 6.806569757805369
-102.60144130283227, -9.052305926197214, 7.0, -100.61491680558072, -8.76522729488727, 6.815173127110915
-102.58313150023541, -9.257490567395166, 7.0, -100.59939446628005, -8.96298263885068, 6.823826430708213
-102.56441136524933, -9.462638178643193, 7.0, -100.58322276767656, -9.160698921102973, 6.832529373916496
-102.54528097275453, -9.667747939351122, 7.0, -100.5664017035673, -9.358372651796822, 6.84128165989442
-102.52574039927258, -9.872819029080183, 7.0, -100.54893129239247, -9.556000341417926, 6.850082989665202
-102.50578972296572, -10.077850627546292, 7.0, -100.5308115772465, -9.753578500999076, 6.858933062142107
-102.48542902363664, -10.28284191462333, 7.0, -100.51204262588692, -9.951103642331649, 6.867831574155056
-102.46465838272813, -10.487792070346416, 7.0, -100.49262453074121, -10.148572278181726, 6.876778220475712
-102.4434778833227, -10.692700274915207, 7.0, -100.47255740891092, -10.345980922498487, 6.885772693844016
-102.42188761014233, -10.897565708697156, 7.0, -100.45184140217414, -10.543326090629709, 6.894814684994393
-102.39988764954809, -11.102387552230796, 7.0, -100.43047667698528, -10.740604299534684, 6.903903882682489
-102.37747808953978, -11.307164986229036, 7.0, -100.4084634244728, -10.937812067990755, 6.913039973711197
-102.3546590197556, -11.511897191582404, 7.0, -100.38580186043477, -11.134945916813194, 6.922222642958333
-102.33143053147182, -11.716583349362356, 7.0, -100.36249222533186, -11.332002369058074, 6.931451573402429
-102.30779271760237, -11.921222640824531, 7.0, -100.33853478427864, -11.528977950239273, 6.94072644615078
-102.28374567269844, -12.12581424741204, 7.0, -100.31392982703217, -11.725869188535452, 6.950046940466246
-102.25928949294823, -12.330357350758725, 7.0, -100.28867766797856, -11.92267261500135, 6.959412733794843
-102.23442427617636, -12.534851132692449, 7.0, -100.26277864611748, -12.11938476377789, 6.968823501792481
-102.20915012184372, -12.739294775238355, 7.0, -100.23623312504397, -12.316002172299566, 6.978278918353339
